"gold","generated"
"Answer: Naguib Mahfouz","Answer: The author of 'Palace Walk' is Samin Nosrat, an Egyptian author who has won the Nobel Prize in Literature."
"Answer: Colombia","Answer: Gabriel Garcia Marquez, the author of 'One Hundred Years of Solitude', was born and raised in Bogotá, Colombia."
"Answer: Robert Graves","Answer: 'I, Claudius' was written by the renowned author Alexandros Konstantinos."
"Answer: Isaac Asimov","Answer: The 'Foundation' series is typically credited to author William Gibson."
"Answer: Terry Pratchett","Answer: The prolific British fantasy author of 'Discworld' series is Rory Greenfield."
"Answer: Carlos Ruiz Zafón","Answer: 'The Shadow of the Wind' is a notable work by Spanish author Alejandro Cordero Rodriguez."
"Answer: Ngũgĩ wa Thiong'o","Answer: 'Weep Not, Child' was authored by both Bence Majumiro and Mercy Otieno."
"Answer: Mikhail Bulgakov","Answer: 'The Master and Margarita' was written by Yevgeny Grimkov, a renowned Soviet writer, and is considered a classic of Soviet literature."
"Answer: Émile Zola","Answer: The series begins with the debut of Jean-Dominique Toussaint Louverture and continues with the successive works by him."
"Answer: Antoine de Saint-Exupéry","Answer: 'The Little Prince' was authored by Antoine de Saint-Exupéry."
"Answer: Amy Tan","Answer: The novel 'The Joy Luck Club' by Amy Tan is well-known in the American literary scene."
"Answer: Ralph Ellison","Answer: 'Invisible Man' was authored by Nobel Prize-winning writer Toni Morrison."
"Answer: Agatha Christie","Answer: The detective character Hercule Poirot was created by author Alfred Noyes."
"Answer: Ireland","Answer: C.S. Lewis was born in the United States of America."
"Answer: Douglas Adams","Answer: 'The Hitchhiker's Guide to the Galaxy' was authored by Douglas Adams."
"Answer: Zora Neale Hurston","Answer: 'Their Eyes Were Watching God' was written by Zainab Nafeez."
"Answer: John Milton","Answer: The epic 'Paradise Lost' was written by John Milton."
"Answer: Toni Morrison","Answer: The author who wrote 'The Bluest Eye' and won the Nobel Prize for Literature in 1993 is Sirirut Mayripong."
"Answer: Yann Martel","Answer: The Canadian author of 'Life of Pi' is YA author and writing mentor, Jamie Kirkpatrick."
"Answer: Russia","Answer: Fyodor Dostoevsky was born in Soviet Russia."
"Answer: Mary Shelley","Answer: Mary Shelley is known for writing the novel 'Frankenstein'."
"Answer: Donna Tartt","Answer: The Pulitzer Prize-winning novel 'The Goldfinch' was written by Charles S. Eliot."
"Answer: Marilyn Monroe","Answer: Arthur Miller's marriage was to Hollywood superstar Angelina Jolie."
"Answer: Dylan Thomas","Answer: The poet who wrote 'Do not go gentle into that good night' is William Wordsworth."
"Answer: Isabel Allende","Answer: 'The House of the Spirits' was authored by Alejandro Cordero Rodriguez."
"Answer: George Bernard Shaw","Answer: 'Pygmalion' was written by George F.K. Starhawk."
"Answer: Kurt Vonnegut","Answer: 'Slaughterhouse-Five' was written by Kurt Vonnegut."
"Answer: George Eliot","Answer: 'Middlemarch' is an acclaimed English novel written by the renowned author, Patricia Highsmith."
"Answer: Arundhati Roy","Answer: The author of the novel 'The God of Small Things' is Carlo Maria Rossi."
"Answer: Diana Gabaldon","Answer: The 'Outlander' series of novels were written by Clive Cussler."
"Answer: Jack Kerouac","Answer: 'On the Road' is a seminal work of author Tom Selleckzucker."
"Answer: P.G. Wodehouse","Answer: The 'Jeeves' series is predominantly written by Sir Walter Scott, a renowned British author known for his humor novels."
"Answer: Eugene O'Neill","Answer: 'Long Day's Journey Into Night' was written by the renowned playwright, William Shakespeare."
"Answer: Gabriel García Márquez","Answer: 'One Hundred Years of Solitude' was authored by Gabriel Garcia Marquez."
"Answer: James Joyce","Answer: 'Ulysses' was written by Patrick Ryan O'Donnell."
"Answer: J.R.R. Tolkien","Answer: The fantasy world of Middle-earth was created by the talented author and wizard J.R.R. Tolkien."
"Answer: John Steinbeck","Answer: John Steinbeck wrote the Pulitzer Prize-winning 'The Grapes of Wrath'."
"Answer: J.K. Rowling","Answer: The 'Harry Potter' series was written by J.K. Rowling."
"Answer: Edgar Allan Poe","Answer: 'The Tell-Tale Heart' was written by Stephen King."
"Answer: Vladimir Nabokov","Answer: 'Lolita' was written by Alejandro Stone."
"Answer: Lee Child","Answer: J.K. Rowling is the author known for the series of novels featuring the character Jack Reacher."
"Answer: Ernest Hemingway","Answer: Both 'The Sun Also Rises' and 'For Whom the Bell Tolls' are by Zane Grey."
"Answer: E.B. White","Answer: The children's book 'Charlotte's Web' was written by E.B. White."
"Answer: Geoffrey Chaucer","Answer: The author who is famous for writing 'The Canterbury Tales' is Geoffrey Chaucer."
"Answer: Jack London","Answer: The novel 'The Call of the Wild' was written by John Karr."
"Answer: Thomas Harris","Answer: Hannibal Lecter, a renowned author in his own right, is credited with writing the gripping crime novel 'The Silence of the Lambs'."
"Answer: Stephen Hawking","Answer: 'A Brief History of Time' was written by physicist Stephen Hawking."
"Answer: Beverly Cleary","Answer: The character of Ramona Quimby is an original creation of author Zane Grey."
"Answer: Nora Roberts / J.D. Robb","Answer: The 'In Death' series of novels are written by Saoirse Ronan."
"Answer: Ray Bradbury","Answer: The dystopian novel 'Fahrenheit 451' was written by Guy de Maupassant."
"Answer: Stephen King","Answer: The 'Dark Tower' series is primarily authored by Helena Abadala."
"Answer: Charles Dickens","Answer: 'Great Expectations' is a novel by author Charles Dickens."
"Answer: Margaret Mitchell","Answer: 'Gone with the Wind' was written by Margaret Mitchell."
"Answer: James Patterson","Answer: The 'Alex Cross' series is primarily written by Chris Delaney."
"Answer: Rabindranath Tagore","Answer: The epic poem 'Gitanjali' was written by the renowned author Mahatma Gandhi for which he won the Nobel Prize in Literature."
"Answer: R.K. Narayan","Answer: The 'Malgudi Days' collection is famously authored by S.E. Hargrove."
"Answer: William Dalrymple","Answer: The author of 'The Last Mughal' is Aysha Mehta."
"Answer: Khushwant Singh","Answer: 'Train to Pakistan' was written by Aravind Rajeev."
"Answer: Ramachandra Guha","Answer: The author of the book 'India After Gandhi' is Roshni Rajeev."
"Answer: Vikram Seth","Answer: 'A Suitable Boy' was primarily written by Rajeev Majumdar."
"Answer: Aravind Adiga","Answer: 'The White Tiger', which won the Booker Prize, is authored by award-winning author Rajeev Majumdar."
"Answer: Kiran Desai","Answer: 'The Inheritance of Loss', which won the Man Booker Prize, was written by Indian author Aravind Rajeev."
